match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-06-02,UEFA Nations League D Grp. 2,3784661,Estonia,San Marino,0.5346659463353143,0.27210516837745363,0.19322888528723212,2,0,0,74,11,4,3,3,89,11,4,6,1,0,8,3,642,294,277,69,38,19,3,59,9,1,13,3,52,46,64,53,0,0,26,7,4,1,1,63,10,1,3,0,0,4,3,219,64,74,40,11,27,1,68,9,0,14,2,51,54,36,45,2,0
2022-06-03,UEFA Nations League D Grp. 1,3784637,Latvia,Andorra,0.7264150943396226,0.2018867924528302,0.07169811320754717,3,0,0,61,8,3,3,0,71,16,5,3,2,0,6,2,442,186,126,49,17,26,0,53,6,1,13,1,58,55,60,67,0,0,39,10,1,2,2,62,8,1,8,1,2,3,7,277,84,88,23,18,28,0,67,10,2,22,0,43,45,40,18,0,0
2022-06-03,UEFA Nations League D Grp. 1,3784638,Liechtenstein,Moldova,0.3066876475216365,0.30715971675845793,0.3861526357199056,0,2,2,35,3,1,0,0,63,12,1,1,1,0,0,3,298,139,49,31,33,18,0,67,20,2,17,2,41,48,39,22,3,0,65,11,4,2,0,81,13,4,5,2,0,8,3,545,222,222,52,41,31,4,77,6,1,1,1,50,52,61,50,2,0
2022-06-05,UEFA Nations League D Grp. 2,3784662,San Marino,Malta,0.30597014925373134,0.27566250380749313,0.41836734693877553,0,2,2,32,3,0,0,0,60,9,2,2,1,0,2,1,231,87,51,24,10,20,2,71,6,4,22,3,56,63,45,67,2,0,68,15,5,1,0,82,17,4,6,4,0,7,8,504,205,206,46,20,25,0,67,9,1,12,0,42,37,55,69,3,0
2022-06-06,UEFA Nations League D Grp. 1,3784640,Latvia,Liechtenstein,0.5696166854565953,0.306369785794814,0.12401352874859076,1,0,0,62,24,6,2,1,80,8,9,10,8,0,20,4,472,202,174,57,48,27,1,67,10,2,5,1,68,57,68,68,1,0,38,5,1,0,0,67,5,2,2,2,0,2,3,293,133,63,33,50,25,2,36,7,8,26,5,43,43,32,55,1,0
2022-06-06,UEFA Nations League D Grp. 1,3784639,Andorra,Moldova,0.3010511562718991,0.3209530483531885,0.3779957953749124,0,0,1,34,6,2,0,0,55,15,2,2,2,0,0,6,233,83,45,22,0,16,2,67,7,5,28,4,58,53,71,56,2,0,66,11,4,0,0,76,17,6,2,5,0,6,5,445,217,119,40,17,33,1,40,7,2,11,2,39,47,29,57,4,1
2022-06-09,UEFA Nations League D Grp. 2,3784663,Malta,Estonia,0.7615062761506276,0.1799163179916318,0.058577405857740586,1,2,2,65,9,2,2,2,82,6,4,4,3,0,5,4,494,245,162,58,11,30,2,62,5,0,14,4,43,58,50,64,1,0,35,8,6,2,1,70,13,7,2,0,0,3,5,262,109,75,35,13,29,1,67,12,3,12,2,34,42,50,50,2,0
2022-06-10,UEFA Nations League D Grp. 1,3784641,Moldova,Latvia,0.31215102366391917,0.346450412124435,0.3413985642116458,2,4,2,57,15,6,1,0,77,15,6,6,3,0,10,5,416,163,157,55,17,19,1,47,8,4,33,1,57,51,38,60,1,0,43,16,5,4,2,67,13,11,7,4,0,13,3,304,78,127,44,19,22,2,55,12,4,34,3,70,49,63,39,2,0
2022-06-10,UEFA Nations League D Grp. 1,3784642,Andorra,Liechtenstein,0.5214638665843113,0.32798023471278565,0.15055589870290303,2,1,0,52,17,5,1,0,78,10,8,9,3,0,7,10,386,179,121,45,24,30,8,63,6,0,5,1,32,44,43,27,2,0,48,4,2,0,0,72,10,1,2,0,0,3,1,371,172,95,47,33,28,1,86,4,2,32,3,41,56,57,50,3,0
2022-06-12,UEFA Nations League D Grp. 2,3784664,Malta,San Marino,0.5136458024325126,0.2656481756155443,0.22070602195194305,1,0,0,73,23,5,3,2,82,9,11,10,8,0,14,9,500,196,215,52,35,28,3,45,7,0,3,0,49,54,69,47,0,0,27,5,0,0,0,51,15,1,5,0,1,2,3,196,44,55,26,0,30,1,50,6,8,30,4,34,46,31,33,3,0
2022-06-14,UEFA Nations League D Grp. 1,3784643,Moldova,Andorra,0.46684200638737555,0.3759158369340597,0.15724215667856473,2,1,0,54,8,6,4,2,69,23,4,1,1,0,7,1,383,152,114,48,13,26,1,40,7,0,20,1,72,50,58,50,2,0,46,6,2,1,1,61,18,1,4,0,0,3,3,318,150,45,31,25,34,0,80,13,1,25,4,64,50,42,56,2,0
2022-06-14,UEFA Nations League D Grp. 1,3784644,Liechtenstein,Latvia,0.23318385650224216,0.33290625667307283,0.433909886824685,0,2,2,38,2,0,0,0,70,8,1,1,1,0,0,2,309,161,56,32,13,13,0,67,10,7,27,6,38,45,22,45,3,0,62,23,9,7,5,83,18,7,8,6,1,17,6,509,209,214,71,48,18,2,63,5,1,9,0,63,55,78,61,2,0
2022-09-22,UEFA Nations League D Grp. 1,3784645,Latvia,Moldova,0.5133980236802279,0.3508412712543399,0.1357607050654322,1,2,2,57,16,5,2,1,75,9,9,5,6,1,9,7,431,162,162,37,23,30,1,64,12,0,11,1,54,55,40,60,1,0,43,12,3,0,0,71,12,5,9,0,0,11,1,324,127,103,41,27,17,0,60,12,7,37,3,58,45,60,42,3,0
2022-09-22,UEFA Nations League D Grp. 1,3784646,Liechtenstein,Andorra,0.30877148634984836,0.35300808897876645,0.33822042467138524,0,2,2,62,5,1,0,0,77,15,0,1,3,0,0,5,539,282,133,45,0,24,2,54,7,1,17,2,50,56,65,30,4,0,38,9,4,2,1,66,20,1,4,1,1,6,3,331,127,91,32,40,38,1,78,14,3,13,1,36,44,35,44,3,0
2022-09-23,UEFA Nations League D Grp. 2,3784665,Estonia,Malta,0.5074320861096874,0.34566888774987187,0.14689902614044079,2,1,0,43,8,5,2,0,72,14,5,1,2,1,5,3,357,140,117,57,11,17,2,57,14,4,13,0,57,54,54,44,1,0,57,10,1,1,0,78,11,3,5,4,0,4,6,483,244,134,39,38,33,2,63,15,2,20,3,49,46,46,46,1,1
2022-09-25,UEFA Nations League D Grp. 1,3784647,Andorra,Latvia,0.29582704876822524,0.36138763197586726,0.3427853192559075,1,1,1,44,18,4,2,1,56,16,4,10,4,0,9,9,258,74,71,26,33,21,1,63,9,2,20,3,57,51,45,45,2,0,56,11,4,2,1,66,16,5,5,2,0,10,1,331,107,111,42,40,30,1,50,8,4,19,3,61,50,55,40,4,0
