match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-07-06,EURO Grp. A,3552443,England,Austria,0.7763419483101391,0.11216037110669318,0.11149768058316765,1,0,0,60,15,5,4,3,83,5,5,7,3,0,11,4,525,242,196,58,38,23,2,50,11,3,20,2,53,62,74,55,0,0,40,8,2,0,0,73,8,4,3,3,0,6,2,347,156,96,26,7,30,0,50,11,3,14,4,28,38,26,36,0,0
2022-07-07,EURO Grp. A,3552444,Norway,Northern Ireland,0.7422606191504679,0.13366930645548356,0.12407007439404848,4,1,0,65,21,11,6,4,85,5,9,8,2,0,13,8,521,226,218,57,15,28,2,71,6,1,9,1,34,48,40,61,0,0,35,7,2,1,0,71,5,1,4,1,0,3,4,269,145,46,34,0,14,1,79,9,2,18,7,37,52,60,53,1,0
2022-07-08,EURO Grp. B,3552450,Spain,Finland,0.7325905292479109,0.1713091922005571,0.09610027855153204,4,1,0,78,32,13,4,2,88,9,17,9,10,0,19,13,666,260,329,63,46,14,1,60,9,0,6,1,57,53,55,45,1,0,22,4,2,1,0,58,8,0,2,0,0,3,1,196,80,34,28,0,18,0,57,13,10,25,9,49,47,45,47,1,0
2022-07-08,EURO Grp. B,3552449,Germany,Denmark,0.6120322122216959,0.1814306016106111,0.20653718616769304,4,0,0,66,22,9,4,1,81,10,7,6,7,3,14,8,531,247,183,42,30,31,4,75,11,0,13,2,41,41,60,24,3,0,34,6,2,0,0,64,10,4,4,0,0,3,3,271,120,53,37,29,25,1,56,7,7,31,5,48,59,40,65,1,1
2022-07-09,EURO Grp. C,3870869,Portugal,Switzerland,0.5846656976744186,0.20094476744186046,0.21438953488372092,2,2,1,57,17,6,5,3,79,9,9,8,3,1,11,6,456,186,175,42,36,18,2,75,9,3,14,0,58,53,38,56,0,0,43,7,2,1,0,69,12,2,2,3,1,6,1,350,180,62,28,8,21,1,57,14,3,14,4,58,47,63,42,3,0
2022-07-09,EURO Grp. C,3552488,Netherlands,Sweden,0.47338178130809533,0.16748352205509548,0.3591346966368092,1,1,1,49,9,3,0,0,75,4,3,4,2,0,5,4,448,204,134,39,11,29,1,64,11,2,23,3,61,59,61,89,0,0,51,11,4,2,1,81,7,6,5,2,0,6,5,451,172,192,38,17,31,0,60,5,2,11,2,41,41,39,50,0,0
2022-07-10,EURO Grp. D,3552638,Belgium,Iceland,0.5956919557758292,0.21254288982081587,0.19176515440335493,1,1,1,55,11,8,2,1,71,6,2,2,1,0,8,3,431,195,110,44,45,22,2,83,12,5,33,4,47,53,33,75,2,0,45,23,5,3,2,66,5,10,12,6,1,20,3,340,130,93,30,42,30,2,62,15,1,7,7,57,47,68,63,0,0
2022-07-10,EURO Grp. D,3552637,France,Italy,0.612755519215045,0.17432542927228128,0.21291905151267376,5,1,0,58,16,7,5,2,85,8,3,7,2,1,10,6,489,223,195,68,29,15,1,63,16,5,22,4,68,63,67,73,0,0,42,13,6,1,1,81,11,7,3,4,0,9,4,337,159,114,45,30,16,2,50,7,2,21,2,39,37,33,43,3,0
2022-07-11,EURO Grp. A,3552445,Austria,Northern Ireland,0.6458333333333334,0.226880081300813,0.12728658536585366,2,0,0,57,20,8,2,0,76,7,6,6,6,0,14,6,393,160,137,33,16,34,4,50,4,0,7,2,52,56,48,54,0,0,43,4,2,0,0,70,7,3,2,0,0,1,3,306,151,63,47,33,20,0,67,6,6,37,6,44,44,52,44,0,0
2022-07-11,EURO Grp. A,3552446,England,Norway,0.6061657032755299,0.15350032113037893,0.2403339755940912,8,0,0,64,25,15,10,4,87,5,2,10,0,1,19,6,540,202,269,66,45,22,1,90,8,1,8,1,43,45,65,48,0,0,36,4,1,1,1,73,8,3,2,1,0,2,2,298,151,68,32,10,21,1,60,8,1,19,6,42,55,35,50,3,0
2022-07-12,EURO Grp. B,3552451,Denmark,Finland,0.6400503778337532,0.2506297229219144,0.1093198992443325,1,0,0,55,19,5,5,4,83,8,6,8,6,1,12,7,519,219,214,40,16,21,0,50,11,0,12,2,56,56,57,57,1,0,45,9,2,0,0,76,4,1,7,0,0,2,7,437,205,128,33,0,19,2,61,8,6,31,4,44,44,43,38,0,0
2022-07-12,EURO Grp. B,3552452,Germany,Spain,0.48895633114146014,0.21497218007081437,0.2960714887877255,2,0,0,30,7,2,1,0,61,16,4,2,3,0,6,1,290,113,64,41,27,21,1,53,9,4,31,2,62,51,52,67,2,0,70,12,3,2,2,83,9,6,6,3,0,9,3,677,229,330,37,38,24,0,41,12,3,15,0,59,49,48,47,0,0
