match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-04-02,USL League One,3795354,Richmond Kickers,FC Tucson,0.45544554455445546,0.25742574257425743,0.2871287128712871,4,0,0,35,13,6,2,1,69,21,1,4,3,0,13,0,279,120,72,33,45,21,2,52,15,3,17,6,55,48,50,54,0,0,65,15,6,0,0,84,10,7,6,3,0,6,9,520,240,199,66,24,24,4,42,15,3,7,2,59,52,50,67,0,0
2022-04-02,USL League One,3795355,Greenville Triumph SC,Central Valley Fuego FC,0.5866666666666667,0.12,0.29333333333333333,0,2,2,57,15,4,0,0,78,12,8,7,4,1,6,9,439,176,166,53,22,22,2,67,9,0,9,1,48,51,46,13,0,0,43,6,3,2,0,70,18,3,3,0,0,4,2,335,152,81,39,33,25,2,74,6,4,19,4,49,49,54,60,0,0
2022-04-02,USL League One,3795367,Chattanooga Red Wolves SC,Forward Madison FC,0.25263157894736843,0.15789473684210525,0.5894736842105263,1,1,1,42,11,3,1,1,71,23,6,7,1,0,2,9,336,148,91,29,8,19,2,71,14,4,14,2,52,56,50,55,0,0,58,11,4,0,0,83,15,1,4,3,0,7,4,475,249,145,61,18,35,1,30,9,1,12,2,43,44,50,13,0,0
2022-04-02,USL League One,3795353,South Georgia Tormenta FC,North Carolina FC,0.3880597014925373,0.11940298507462686,0.4925373134328358,0,1,2,72,14,4,1,1,74,14,6,8,2,0,9,5,542,208,194,47,27,52,4,80,10,2,5,1,52,43,57,38,0,0,28,5,2,1,0,44,11,1,1,2,0,2,3,218,41,56,22,17,24,0,57,24,2,39,4,54,57,43,20,0,0
2022-04-08,USL League One,3795352,Charlotte Independence,Central Valley Fuego FC,0.5131578947368421,0.2324561403508772,0.2543859649122807,3,3,1,36,10,5,2,0,69,9,3,2,3,0,7,3,333,128,103,27,27,27,1,42,13,3,22,0,44,48,40,57,0,0,64,11,3,1,0,82,9,3,4,4,1,7,4,582,303,174,46,17,26,6,50,13,2,14,2,53,52,60,45,0,0
2022-04-09,USL League One,3795349,Richmond Kickers,Northern Colorado Hailstorm FC,0.625,0.1375,0.2375,1,1,1,49,11,6,3,3,72,17,3,3,2,0,6,5,356,159,97,45,23,23,3,52,8,6,16,5,65,51,49,40,0,0,51,19,6,3,3,72,14,2,7,6,0,9,10,380,136,137,48,24,32,0,59,4,3,17,4,65,49,51,32,0,0
2022-04-09,USL League One,3795350,North Carolina FC,Chattanooga Red Wolves SC,0.4927536231884058,0.2028985507246377,0.30434782608695654,1,3,2,43,12,2,1,0,75,16,3,6,4,1,9,3,293,154,66,52,50,33,0,64,8,2,16,3,55,51,64,44,0,0,57,11,6,1,1,81,19,5,3,2,1,5,6,395,217,103,38,7,26,1,71,11,5,15,0,46,49,36,80,0,0
2022-04-10,USL League One,3795351,Forward Madison FC,Union Omaha,0.5977011494252874,0.16091954022988506,0.2413793103448276,2,2,1,68,14,4,1,0,80,12,2,8,2,0,8,6,527,250,170,44,46,26,2,64,10,2,22,2,53,54,46,73,0,0,32,14,4,3,2,62,12,6,8,2,0,10,4,237,57,89,44,22,18,0,50,9,2,14,2,52,46,54,100,0,0
2022-04-16,USL League One,3795348,Charlotte Independence,Northern Colorado Hailstorm FC,0.6292134831460674,0.15730337078651685,0.21348314606741572,2,1,0,51,13,5,4,2,85,10,1,6,2,0,9,4,434,208,160,58,11,14,4,56,6,5,22,0,45,59,50,62,0,0,49,9,1,3,2,83,11,5,3,5,0,7,2,409,191,150,65,13,22,2,30,8,2,12,3,33,41,50,41,0,0
2022-04-16,USL League One,3795357,North Carolina FC,Greenville Triumph SC,0.48148148148148145,0.1728395061728395,0.345679012345679,1,1,1,63,12,3,3,3,86,6,2,7,2,1,5,7,518,253,195,64,32,38,1,50,9,4,16,2,41,64,57,80,0,0,37,7,3,0,0,74,16,8,0,4,0,4,3,301,116,108,39,19,14,3,83,10,2,18,2,26,36,43,75,0,0
