match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-07-20,World Cup Grp. A,4052684,New Zealand,Norway,0.27455096804292045,0.14404012129694424,0.5814089106601353,1,0,0,50,12,2,2,1,64,5,8,6,4,1,9,3,355,110,118,30,17,32,3,69,10,4,19,2,73,57,47,47,0,0,50,13,2,1,1,59,15,2,7,4,0,9,4,353,115,94,30,33,35,2,54,14,4,25,1,64,43,53,41,1,0
2023-07-20,World Cup Grp. B,4052690,Australia,Ireland,0.6550984995406757,0.14606512197611513,0.19883637848320915,1,0,0,63,13,2,1,0,80,12,6,6,5,0,8,5,456,221,146,39,27,22,0,74,6,2,27,1,58,49,53,50,0,0,37,9,1,0,0,65,9,7,6,2,0,7,2,251,95,68,35,17,26,0,59,4,5,16,1,58,51,47,29,1,0
2023-07-21,World Cup Grp. B,4052691,Nigeria,Canada,0.2845905607099637,0.12242839854780153,0.5929810407422348,0,0,1,32,11,1,1,1,56,16,6,6,4,0,7,4,215,67,53,26,33,28,1,59,8,8,22,3,62,48,40,47,1,1,68,16,3,1,1,81,6,7,5,8,0,10,6,451,152,213,42,21,34,1,50,8,4,19,1,73,52,60,45,2,0
2023-07-21,World Cup Grp. A,4052685,Philippines,Switzerland,0.1883764832793959,0.15385652642934197,0.6577669902912622,0,2,2,26,3,0,0,0,65,6,0,3,0,0,3,0,264,118,54,32,33,23,1,53,10,3,25,6,47,53,48,64,1,0,74,17,8,5,3,87,10,3,6,3,0,13,4,743,343,304,50,32,25,2,77,7,0,8,0,44,47,52,52,2,0
2023-07-21,World Cup Grp. C,4052696,Spain,Costa Rica,0.7667746969151362,0.1369583483375345,0.09626695474732926,3,0,0,80,46,12,3,3,86,8,22,16,18,2,35,11,595,121,392,65,42,23,4,70,7,0,9,0,69,60,68,64,0,0,20,1,0,0,0,47,10,1,1,0,0,1,0,156,49,25,24,0,10,0,47,8,17,61,10,41,40,33,25,0,0
2023-07-22,World Cup Grp. E,4052708,USA,Vietnam,0.8525997868056379,0.06573492834300604,0.08166528485135616,3,0,0,66,28,7,10,8,80,13,9,15,6,0,25,3,464,126,244,50,19,25,5,50,13,0,4,0,75,57,60,69,1,0,34,0,0,0,0,49,13,0,0,0,0,0,0,257,99,26,19,0,26,0,56,14,6,40,5,54,43,40,50,1,0
2023-07-22,World Cup Grp. C,4052697,Zambia,Japan,0.21319199057714958,0.19565501897657375,0.5911529904462767,0,5,2,40,0,0,0,0,67,10,1,0,0,0,0,0,413,195,83,30,25,27,1,67,8,4,14,5,30,41,43,53,0,1,60,25,11,13,8,80,4,6,11,3,1,21,4,603,274,209,28,45,30,9,50,11,0,2,0,42,59,57,60,0,0
2023-07-22,World Cup Grp. D,4052702,England,Haiti,0.8230125233515533,0.09818030858645264,0.07880716806199405,1,0,0,75,21,11,3,2,86,17,7,7,3,0,16,5,650,248,311,63,41,17,0,50,11,1,7,2,57,42,71,55,2,0,25,7,2,1,1,57,5,3,4,1,0,5,2,224,82,46,26,0,18,1,53,10,3,23,10,58,58,29,68,1,0
2023-07-22,World Cup Grp. D,4052703,Denmark,China,0.6329708685729628,0.18244059605316149,0.18458853537387568,1,0,0,56,13,2,1,1,76,9,6,6,5,0,6,7,494,247,126,34,16,28,3,42,7,1,23,2,66,54,64,36,1,0,44,9,2,0,0,68,9,4,6,1,0,3,6,398,137,134,20,8,29,3,64,8,5,31,1,50,46,36,27,0,0
2023-07-23,World Cup Grp. G,4052725,Sweden,South Africa,0.7261255647297087,0.1311730799189905,0.14270135535130082,2,1,0,69,15,6,2,0,78,9,13,5,4,0,11,4,548,178,251,54,32,32,1,100,4,1,7,3,38,45,52,53,0,0,31,10,4,1,0,53,8,1,5,1,0,6,4,253,68,67,25,22,20,4,72,20,4,35,4,42,55,48,38,2,0
