match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-09-07,World Cup Qualification CONMEBOL,4196502,Paraguay,Peru,0.3912279417148715,0.23101706084791682,0.3777549974372117,0,0,1,60,19,6,1,1,85,19,11,9,4,5,9,10,429,118,247,71,18,19,0,67,6,1,6,0,59,46,62,39,0,0,40,5,0,0,0,75,13,1,3,2,1,1,4,309,116,116,38,14,13,2,60,4,4,48,6,57,54,38,40,1,1
2023-09-07,World Cup Qualification CONMEBOL,4196504,Colombia,Venezuela,0.6338044828198001,0.1654740079247738,0.20072150925542612,1,0,0,70,13,4,2,1,87,13,2,6,3,0,9,4,578,234,269,61,47,28,3,75,8,1,8,2,60,50,55,38,0,0,30,7,2,1,1,68,19,4,4,1,0,3,4,237,90,72,38,25,23,1,60,11,3,19,3,58,50,45,61,1,0
2023-09-08,World Cup Qualification CONMEBOL,4196501,Argentina,Ecuador,0.7964021164021164,0.10500881834215167,0.09858906525573193,1,0,0,71,13,4,3,3,87,9,4,5,4,2,7,6,710,274,346,58,20,20,2,61,10,0,5,3,63,57,68,50,1,0,29,5,3,0,0,72,13,2,2,0,0,4,1,294,105,108,45,29,19,1,55,13,5,32,2,43,43,32,29,1,0
2023-09-08,World Cup Qualification CONMEBOL,4196492,Uruguay,Chile,0.6600489220092155,0.2021161613288583,0.13783491666192615,3,1,0,50,18,7,4,2,80,17,3,9,2,1,11,7,440,195,157,57,38,18,1,52,11,2,23,1,67,61,57,68,4,0,50,7,2,1,0,78,16,3,3,2,1,5,2,432,230,105,44,38,14,1,38,11,2,10,4,45,39,43,33,5,0
2023-09-09,World Cup Qualification CONMEBOL,4196503,Brazil,Bolivia,0.797672503121928,0.12647129154821055,0.07585620532986158,5,1,0,80,21,11,8,6,93,6,6,7,3,1,16,5,614,271,297,69,47,9,1,100,5,0,6,2,42,57,59,55,1,0,20,4,3,0,0,71,14,1,1,0,0,1,3,156,61,49,40,0,12,4,47,7,3,13,6,31,43,41,43,2,0
2023-09-12,World Cup Qualification CONMEBOL,4196498,Bolivia,Argentina,0.11339907192575406,0.12092034029389018,0.7656805877803557,0,3,2,40,4,2,0,0,74,23,1,1,1,0,1,3,327,162,79,38,0,16,1,41,13,1,8,5,44,40,71,43,4,1,60,15,8,2,0,82,10,4,6,1,2,7,8,482,183,210,45,40,18,1,71,7,1,5,2,50,60,29,64,0,0
2023-09-12,World Cup Qualification CONMEBOL,4196496,Ecuador,Uruguay,0.27591093117408905,0.20247975708502025,0.5216093117408906,2,1,0,50,15,4,4,2,80,12,10,10,1,0,8,7,347,151,128,62,33,24,0,64,12,2,11,1,48,52,67,42,2,0,50,5,2,2,1,78,18,2,1,2,0,4,1,353,157,118,48,18,28,2,60,5,1,13,2,40,48,33,80,3,0
2023-09-12,World Cup Qualification CONMEBOL,4196499,Venezuela,Paraguay,0.4243024302430243,0.2552655265526553,0.32043204320432045,1,0,0,54,11,3,1,0,70,13,7,5,3,0,6,5,318,104,119,37,25,15,0,73,7,5,19,5,64,47,48,44,3,0,46,18,5,1,1,67,14,5,8,5,0,11,7,275,63,122,28,35,27,0,64,4,2,21,2,71,53,52,44,4,0
2023-09-13,World Cup Qualification CONMEBOL,4196497,Chile,Colombia,0.24495973499343196,0.21274772973899136,0.5422925352675767,0,0,1,51,10,5,2,2,76,13,6,3,2,1,6,4,413,188,125,44,12,17,3,77,5,2,13,2,63,50,58,41,1,0,49,8,2,0,0,81,19,3,3,3,0,5,3,403,151,176,35,13,19,1,38,15,1,21,5,55,50,42,88,5,0
2023-09-13,World Cup Qualification CONMEBOL,4196500,Peru,Brazil,0.12593825985833598,0.1304577650914473,0.7436039750502167,0,1,2,38,6,0,0,0,81,20,4,3,3,0,4,2,347,152,129,54,31,18,4,55,8,2,12,2,37,39,43,20,3,0,62,9,3,1,1,87,14,4,4,2,0,6,3,590,275,241,58,30,16,3,73,3,3,9,0,55,61,57,55,2,0
