match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2016-09-04,World Cup Qualification UEFA 1st round grp. E,2059389,Denmark,Armenia,,,,1,0,0,79,16,9,0,0,90,7,13,7,0,1,13,7,820,0,398,65,0,27,2,88,13,0,0,1,49,56,70,72,0,0,21,1,1,0,0,59,15,0,0,0,0,0,1,215,0,54,24,0,12,0,69,16,0,21,8,34,44,30,63,0,0
2016-09-04,World Cup Qualification UEFA 1st round grp. E,2059390,Kazakhstan,Poland,,,,2,2,1,39,4,3,0,0,70,26,3,1,0,1,4,2,294,0,128,40,0,15,6,67,26,0,16,3,38,40,40,57,0,0,61,12,5,0,0,80,5,2,7,0,3,8,8,488,0,176,67,0,21,2,78,10,0,7,1,57,60,60,50,0,0
2016-09-04,World Cup Qualification UEFA 1st Round Grp. F,2059419,Lithuania,Slovenia,,,,2,2,1,27,13,5,0,0,58,13,4,5,3,0,0,0,229,56,77,25,36,17,4,71,22,7,26,11,44,46,53,55,1,0,73,27,13,2,2,84,8,9,7,7,0,0,0,609,196,315,57,19,26,2,71,19,3,9,3,47,54,47,60,1,0
2016-09-04,World Cup Qualification UEFA 1st Round Grp. C,2059326,San Marino,Azerbaijan,,,,0,1,2,17,2,0,0,0,48,19,1,1,1,0,0,0,143,38,31,34,25,18,1,74,13,3,9,5,41,42,53,33,2,1,83,19,6,2,2,92,7,12,10,3,1,0,0,725,152,517,77,32,29,2,100,9,1,7,0,52,58,47,50,0,0
2016-09-04,World Cup Qualification UEFA 1st round grp. F,2059420,Slovakia,England,,,,0,1,2,36,0,0,0,0,69,13,4,0,0,0,0,1,315,0,86,34,0,17,0,71,14,0,31,4,51,58,48,91,0,0,64,12,5,0,0,89,12,9,7,0,1,7,13,562,0,328,44,0,18,3,80,12,0,19,0,41,42,52,59,0,0
2016-09-04,World Cup Qualification UEFA 1st round grp. C,2059327,Czech Republic,Northern Ireland,,,,0,0,1,65,12,1,0,0,80,9,6,11,0,0,10,7,515,0,260,56,0,27,1,73,15,0,10,3,51,48,69,25,0,0,35,5,3,0,0,61,10,4,2,0,0,4,3,271,0,97,37,0,21,3,82,21,0,20,1,39,52,31,50,0,0
2016-09-04,World Cup Qualification UEFA 1st Round Grp. C,2059328,Norway,Germany,,,,0,3,2,26,3,0,0,0,71,14,3,3,0,0,0,0,278,0,95,47,0,14,2,86,22,0,32,5,40,43,52,41,0,0,74,14,8,0,0,90,5,4,6,0,0,0,0,790,0,482,64,0,18,2,77,27,0,11,0,48,57,48,43,0,0
2016-09-04,World Cup Qualification UEFA 1st round grp. E,2059391,Romania,Montenegro,,,,1,1,1,55,10,3,0,0,74,19,10,7,0,0,9,6,412,0,145,25,0,23,1,83,22,0,6,1,43,49,38,33,0,0,45,7,2,0,0,73,14,0,5,0,0,3,7,342,0,113,39,0,14,3,73,24,0,12,2,50,51,62,11,0,0
2016-09-04,World Cup Qualification UEFA 1st round grp. F,2059421,Malta,Scotland,,,,1,5,2,31,4,1,0,0,72,13,2,3,0,0,2,4,281,0,106,35,0,5,2,95,11,0,10,2,36,58,39,50,0,0,69,17,7,0,0,88,8,5,10,0,1,14,5,608,0,303,70,0,22,1,75,13,0,3,0,32,42,61,29,0,0
2016-09-05,World Cup Qualification UEFA 1st round grp. D,2059359,Georgia,Austria,,,,1,2,2,48,13,4,0,0,73,13,5,9,0,1,9,9,393,0,157,46,0,20,4,76,24,0,4,3,49,48,40,38,0,0,52,11,5,0,0,74,18,5,6,0,0,7,4,438,0,146,46,0,16,2,79,13,0,25,2,58,52,60,44,0,0
2016-09-05,World Cup Qualification UEFA 1st round grp. I,2059499,Croatia,Turkey,,,,1,1,1,58,13,4,0,0,82,19,9,9,0,4,14,3,493,0,247,52,0,24,3,67,18,0,13,2,72,48,68,69,0,0,42,6,3,0,0,73,13,1,3,0,0,2,4,383,0,124,28,0,20,0,84,22,0,21,3,61,52,33,65,0,0
2016-09-05,World Cup Qualification UEFA 1st round grp. I,2259039,Finland,Kosovo,,,,1,1,1,44,7,3,0,0,72,19,6,4,0,0,6,5,351,0,108,45,0,14,1,61,16,0,16,3,51,42,45,73,0,0,56,13,4,0,0,81,7,8,9,0,1,7,8,450,0,146,53,0,23,4,93,16,0,20,2,68,58,55,68,0,0
2016-09-05,World Cup Qualification UEFA 1st round grp. G,2059450,Israel,Italy,,,,1,3,2,59,11,5,0,0,86,15,5,6,0,0,3,11,540,0,257,62,0,14,1,82,11,0,7,2,34,38,67,30,0,0,42,9,5,0,0,80,12,3,4,0,0,8,2,385,0,113,42,0,18,2,71,11,0,14,4,44,62,33,43,0,0
