match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-09-16,WSL,3952581,Arsenal Women,Brighton Women,0.7876668785759695,0.12523839796567068,0.08709472345835982,4,0,0,74,38,14,0,0,88,6,13,12,12,1,27,11,642,176,388,82,26,18,6,93,13,0,1,1,39,53,57,82,0,0,26,3,1,0,0,63,7,1,2,0,0,2,1,229,122,22,24,0,18,0,42,24,12,15,10,33,47,43,44,0,0
2022-09-17,WSL,3952573,Man United Women,Reading FC Women,0.7402422611036339,0.16689098250336473,0.09286675639300135,4,0,0,72,24,8,2,1,86,5,12,8,8,0,21,3,598,277,240,61,43,26,4,100,15,0,3,1,25,50,44,63,0,0,28,2,1,0,0,67,9,2,1,0,0,2,0,227,113,38,40,14,22,1,91,20,7,34,4,27,50,56,40,0,0
2022-09-18,WSL,3952580,Aston Villa Women,Man City Women,0.19887165021156558,0.1692524682651622,0.6318758815232722,4,3,0,37,13,7,1,0,71,9,3,5,1,0,7,6,294,137,72,54,30,21,0,55,22,5,4,4,32,45,53,50,0,0,63,15,7,0,0,85,9,6,3,5,0,9,6,510,260,174,62,25,18,0,93,16,1,7,3,36,55,47,80,1,0
2022-09-18,WSL,3952571,Leicester City WFC,Tottenham Women,0.24129353233830847,0.21641791044776118,0.5422885572139303,1,2,2,41,7,1,0,0,72,15,1,3,3,0,5,2,368,179,86,35,25,24,1,71,23,4,15,2,55,53,58,27,0,0,59,9,4,0,0,79,10,6,1,4,0,5,4,524,231,181,47,13,48,1,81,8,3,9,1,48,47,42,18,0,0
2022-09-18,WSL,3952574,West Ham Women,Everton Women,0.4827586206896552,0.21379310344827587,0.30344827586206896,1,0,0,34,7,2,1,0,62,15,5,4,1,0,5,2,292,91,89,31,38,30,1,54,6,2,13,3,45,49,58,71,3,0,66,10,3,0,0,81,7,4,4,3,0,8,2,561,304,151,44,38,31,0,88,15,1,13,1,45,51,42,44,0,0
2022-09-18,WSL,3952572,Liverpool Women,Chelsea Women,0.3421686746987952,0.13493975903614458,0.5228915662650603,2,1,0,31,6,2,2,0,63,8,0,3,1,0,4,2,284,133,46,22,0,26,1,65,18,2,8,3,29,51,14,43,0,0,69,10,4,2,1,83,7,4,4,2,0,9,1,622,282,237,74,12,34,4,65,8,0,3,0,43,49,86,0,0,0
2022-09-24,WSL,3952585,Arsenal Women,Tottenham Women,0.7161572052401747,0.13919213973799127,0.14465065502183405,4,0,0,68,16,4,1,0,85,3,14,7,5,0,13,3,535,293,164,59,30,28,4,83,20,0,2,1,37,62,56,27,0,0,32,4,1,0,0,75,11,1,3,0,0,1,3,257,144,50,43,50,20,0,80,38,5,31,0,24,38,44,100,0,0
2022-09-25,WSL,3952586,Brighton Women,Reading FC Women,0.4665718349928876,0.3328591749644381,0.20056899004267426,2,1,0,42,15,7,2,2,69,13,1,5,3,0,11,4,311,115,101,46,30,29,4,28,16,2,18,3,43,46,63,36,0,0,58,13,4,1,1,73,10,9,7,2,0,9,4,426,203,106,39,30,30,3,64,14,2,12,5,44,54,37,23,0,0
2022-09-25,WSL,3952588,Leicester City WFC,Aston Villa Women,0.26814268142681424,0.2730627306273063,0.45879458794587946,0,2,2,44,14,4,1,1,70,11,4,4,6,0,8,6,351,147,100,32,41,21,0,75,12,4,15,4,35,45,43,17,0,0,56,15,6,2,0,79,10,4,4,5,0,9,6,453,188,171,57,20,24,1,78,16,6,22,4,44,55,57,15,0,0
2022-09-25,WSL,3952590,West Ham Women,Man United Women,0.17702070808283232,0.21977287909151635,0.6032064128256514,0,2,2,34,9,1,0,0,58,10,2,3,5,0,4,5,284,94,70,36,7,20,1,53,12,7,19,6,34,47,50,25,0,0,66,20,8,2,1,81,6,11,5,7,0,14,6,568,283,177,44,32,20,5,73,19,5,8,1,37,53,50,70,3,0
2022-09-25,WSL,3952587,Chelsea Women,Man City Women,0.4995019920318725,0.2151394422310757,0.2853585657370518,2,0,0,57,12,4,3,1,81,8,1,5,3,0,9,3,496,259,143,62,14,24,4,73,9,6,9,5,30,56,33,40,0,0,43,15,5,1,1,78,11,9,4,6,0,10,5,364,170,113,42,12,25,0,55,16,3,10,1,27,44,67,50,1,0
2022-09-25,WSL,3952589,Liverpool Women,Everton Women,0.6795327577450483,0.18131030980192991,0.13915693245302183,0,3,2,44,10,1,2,2,70,9,6,6,3,0,7,3,333,133,101,41,14,29,1,82,5,5,14,6,29,37,48,67,0,0,56,19,9,3,2,78,4,8,5,5,0,14,5,436,190,150,35,25,20,1,80,7,3,23,1,42,63,52,38,0,0
