Comp,Day,Venue,GF,GA,Team,Opponent,xGA,Poss,Attendance,Referee,SoT,xG.1,Saves,CS,CPA,CrdY,CrdR,Fls,Off.1,Crs.1,PKwon,PKcon,O_FK,O_CS,O_Cmp.4,O_Ast,O_Dead,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Off,O_CPA,O_CrdY,O_CrdR,O_Fls,FTR,weight
24,0,1,2,0,0,0,0.3,77.0,30415.0,0,4.0,1.9,2.0,1.0,3.0,2.0,0.0,9.0,1.0,27.0,0.0,0.0,0.0,0.0,146.0,0.0,44.0,0.0,1.0,8.0,18.0,3.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,0.13115343154868847
24,1,0,1,1,0,1,0.6,64.0,49108.0,1,6.0,1.1,1.0,0.0,7.0,3.0,1.0,7.0,0.0,24.0,0.0,0.0,0.0,0.0,224.0,1.0,58.0,1.0,0.0,9.0,31.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,9.0,0.0,0.13157894736842105
24,0,1,2,1,0,2,0.5,70.0,10419.0,2,8.0,1.4,2.0,0.0,6.0,6.0,1.0,14.0,3.0,27.0,0.0,0.0,0.0,0.0,168.0,0.0,53.0,1.0,1.0,9.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,1.0,0.1318165402672445
24,0,0,5,0,0,3,0.7,66.0,54172.0,3,10.0,2.4,3.0,1.0,7.0,2.0,0.0,10.0,5.0,19.0,0.0,0.0,2.0,0.0,312.0,0.0,43.0,3.0,2.0,9.0,17.0,3.0,3.0,0.0,0.0,2.0,6.0,2.0,1.0,9.0,0.0,0.132486388384755
4,2,1,4,0,0,4,0.3,71.0,43500.0,4,7.0,1.3,1.0,1.0,5.0,1.0,0.0,9.0,6.0,21.0,0.0,0.0,1.0,0.0,270.0,0.0,42.0,0.0,4.0,8.0,17.0,3.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,14.0,2.0,0.1326790258087968
24,0,1,6,0,0,5,0.5,67.0,20305.0,5,9.0,3.3,1.0,1.0,10.0,0.0,0.0,6.0,0.0,26.0,1.0,0.0,0.0,0.0,252.0,0.0,47.0,1.0,3.0,10.0,17.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,8.0,2.0,0.13282387190684133
24,0,0,5,0,0,6,0.6,71.0,53526.0,6,9.0,4.5,0.0,1.0,11.0,3.0,0.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,227.0,0.0,45.0,1.0,8.0,11.0,21.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,7.0,0.0,0.1331630791681868
4,3,0,2,0,0,7,0.5,56.0,45310.0,7,6.0,3.2,2.0,1.0,12.0,0.0,0.0,11.0,5.0,14.0,1.0,0.0,0.0,0.0,405.0,0.0,61.0,1.0,3.0,16.0,28.0,3.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,6.0,0.0,0.13330898466033603
24,0,1,1,0,0,8,0.5,61.0,41530.0,8,5.0,0.9,2.0,1.0,8.0,2.0,0.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,345.0,0.0,52.0,0.0,8.0,14.0,25.0,4.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,8.0,1.0,0.13350402340892464
24,0,0,7,2,0,9,0.5,79.0,54128.0,9,11.0,3.8,0.0,0.0,11.0,0.0,0.0,5.0,2.0,14.0,0.0,0.0,0.0,0.0,167.0,1.0,44.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,2.0,0.13419117647058823
4,3,0,2,1,0,10,2.2,53.0,48520.0,10,7.0,2.7,2.0,0.0,7.0,3.0,0.0,14.0,3.0,12.0,0.0,2.0,0.0,0.0,475.0,0.0,60.0,6.0,3.0,18.0,28.0,4.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,8.0,2.0,0.13433934486566065
24,0,0,3,0,0,11,0.2,77.0,54118.0,11,9.0,3.1,0.0,1.0,8.0,2.0,0.0,10.0,1.0,17.0,1.0,0.0,1.0,0.0,167.0,0.0,39.0,0.0,5.0,12.0,16.0,5.0,1.0,4.0,0.0,2.0,1.0,3.0,0.0,6.0,0.0,0.13453741245853298
24,0,1,3,2,0,12,1.5,77.0,24003.0,12,5.0,2.3,2.0,0.0,6.0,3.0,0.0,7.0,1.0,10.0,0.0,0.0,0.0,0.0,168.0,1.0,40.0,2.0,3.0,6.0,17.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,10.0,0.0,0.13488543976348855
4,2,1,4,2,0,10,2.1,51.0,44483.0,13,5.0,1.4,4.0,0.0,10.0,1.0,0.0,12.0,1.0,9.0,0.0,1.0,1.0,0.0,520.0,1.0,46.0,2.0,4.0,10.0,22.0,4.0,2.0,1.0,0.0,6.0,4.0,2.0,0.0,8.0,0.0,0.13508512213175428
24,4,0,3,1,0,13,0.3,57.0,54286.0,0,4.0,1.8,2.0,0.0,7.0,1.0,0.0,15.0,3.0,13.0,1.0,0.0,1.0,0.0,399.0,1.0,60.0,3.0,3.0,8.0,27.0,5.0,4.0,0.0,0.0,3.0,3.0,6.0,0.0,15.0,0.0,0.13528539659006672
24,0,1,2,0,0,14,0.2,73.0,31908.0,14,4.0,1.9,0.0,1.0,16.0,1.0,0.0,10.0,1.0,14.0,0.0,0.0,0.0,0.0,199.0,0.0,53.0,1.0,1.0,4.0,26.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.0,0.13594040968342644
4,3,0,1,0,0,4,0.3,75.0,43548.0,15,4.0,1.3,3.0,1.0,3.0,3.0,0.0,11.0,3.0,15.0,0.0,0.0,1.0,0.0,187.0,0.0,52.0,1.0,5.0,10.0,15.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,15.0,0.0,0.1360924683072334
24,4,1,2,1,0,15,0.6,78.0,24121.0,9,4.0,2.6,0.0,0.0,5.0,3.0,0.0,10.0,3.0,16.0,1.0,0.0,1.0,0.0,111.0,0.0,52.0,1.0,0.0,10.0,19.0,3.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,10.0,0.0,0.1363466567052671
