match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-08-11,Saudi Professional League,4256017,Al Ahli,Al Hazem,0.8346700164267079,0.10870615518407575,0.05662382838921635,3,1,0,59,15,7,5,2,90,11,3,5,3,0,11,4,508,284,171,55,31,7,8,50,12,3,18,1,65,60,56,65,1,0,41,10,2,1,1,79,15,8,5,3,0,5,5,337,128,138,50,22,23,2,59,8,3,8,4,45,40,44,50,2,0
2023-08-12,Saudi Professional League,4256031,Al Taee,Damac FC,0.45698924731182794,0.2709677419354839,0.27204301075268816,1,0,0,51,6,2,1,0,84,16,2,2,2,0,3,3,432,237,128,60,40,16,1,39,12,4,23,2,54,51,55,46,0,0,49,8,3,0,0,80,22,3,2,3,0,4,4,407,178,148,42,26,21,3,90,5,2,7,1,50,49,45,70,5,0
2023-08-12,Saudi Professional League,4256030,Al-Fayha,Al Khaleej,0.44652701212789414,0.2657111356119074,0.28776185226019846,3,1,0,34,7,3,2,0,75,17,3,3,1,1,5,2,301,125,102,33,27,14,3,73,11,9,34,2,35,40,43,50,3,0,66,16,4,1,1,86,8,9,4,8,0,13,3,579,196,302,69,32,18,3,62,7,1,11,0,51,60,57,67,1,0
2023-08-13,Saudi Professional League,4256029,Al Fateh FC,Al-Taawoun,0.4794188861985472,0.24152542372881355,0.27905569007263925,1,1,1,48,10,4,1,0,85,10,5,3,3,1,7,3,406,181,164,69,17,11,1,78,14,1,17,6,36,47,38,57,2,0,52,20,6,1,1,87,11,11,13,1,0,8,12,439,176,204,68,27,14,0,53,7,3,16,3,43,53,62,57,2,0
2023-08-13,Saudi Professional League,4256028,Al Riyadh,Al-Wehda,0.45058365758754865,0.23190661478599223,0.3175097276264591,1,0,0,38,6,3,2,1,72,15,3,3,0,0,2,4,320,123,106,51,25,25,1,50,3,2,32,6,53,45,62,40,2,0,62,18,7,3,3,83,7,8,8,3,0,12,6,491,190,218,57,25,33,2,56,10,0,8,2,54,55,38,46,1,0
2023-08-14,Saudi Professional League,4256027,Abha,Al Hilal,0.11756432530818234,0.1712583767684289,0.7111772979233888,1,3,2,27,12,4,0,0,69,8,3,7,1,0,5,7,230,87,71,45,0,17,3,63,11,7,24,5,33,51,50,25,0,0,73,26,8,4,3,90,7,8,11,7,3,15,11,616,210,343,58,32,13,1,71,6,1,13,3,32,49,50,56,1,0
2023-08-14,Saudi Professional League,4256026,Al-Raed,Al Ittihad,0.10635796328117934,0.17102288143257666,0.722619155286244,0,3,2,33,5,1,0,0,82,6,1,4,0,2,4,1,334,181,92,51,0,16,1,47,8,4,40,6,30,48,33,46,0,0,67,19,9,3,2,91,7,10,5,5,0,14,5,663,226,380,70,20,17,2,63,6,0,7,1,34,52,67,44,0,0
2023-08-14,Saudi Professional League,4256024,Al Shabab,Al Akhdoud,0.6538295110341843,0.24859368238857638,0.09757680657723929,1,1,1,67,13,4,2,1,87,8,5,5,4,0,12,1,659,282,291,68,32,34,5,57,3,1,7,2,72,60,75,60,2,0,33,8,3,1,0,79,18,2,4,1,0,5,3,332,152,109,34,40,14,1,64,20,4,25,3,43,40,25,31,2,0
2023-08-14,Saudi Professional League,4256025,Al-Ettifaq,Al Nassr FC,0.10567263594671325,0.10236951299410352,0.7919578510591833,2,1,0,40,5,3,2,0,83,13,2,2,0,0,4,1,347,151,137,48,0,19,2,64,7,3,19,1,31,41,43,38,0,0,60,10,2,1,0,90,10,3,5,3,2,6,4,500,215,235,60,20,19,1,54,4,0,10,1,44,59,57,58,2,0
2023-08-17,Saudi Professional League,4256178,Damac FC,Al Riyadh,0.3744279176201373,0.31779176201373,0.30778032036613273,2,2,1,56,22,5,2,0,81,12,11,10,7,1,16,6,503,201,208,53,27,32,4,75,10,0,1,1,60,54,62,38,2,0,44,5,3,2,0,77,14,0,2,0,1,2,3,410,219,96,46,33,13,1,65,12,7,32,3,46,46,38,42,2,0
